call_history_id                     |agent_count|agents  |any_answered|
------------------------------------+-----------+--------+------------+
00000000-01dc-c1b1-970a-3f7c00001aa4|          2|162, 174|true        |
00000000-01dc-c1b4-7fdf-48e900001b46|          2|162, 164|true        |
00000000-01dc-c1b7-3d77-e26f00001bce|          2|164, 174|true        |
00000000-01dc-c1b7-9a1f-846f00001be4|          2|174, 177|true        |
00000000-01dc-c1b9-2c8e-99b700001c49|          2|174, 177|true        |
00000000-01dc-c1c8-2ddf-115f00001dbf|          2|163, 164|true        |
00000000-01dc-c1cd-2168-d2e300001e42|          2|163, 164|true        |
00000000-01dc-c1d1-3347-06c300001ee8|          2|162, 174|true        |
00000000-01dc-c1d5-cd8a-efd000001fa3|          2|162, 177|true        |
00000000-01dc-c26f-b247-c079000023bc|          2|163, 164|true        |
00000000-01dc-c270-955e-b3ba000023eb|          2|162, 177|true        |
00000000-01dc-c290-0be7-77780000281a|          2|163, 164|false       |
00000000-01dc-c299-ea15-735f0000292c|          2|139, 163|true        |
00000000-01dc-c2a6-38ac-aa1800002b1b|          2|162, 174|true        |
00000000-01dc-c65e-b92e-32f800000195|          2|139, 163|true        |
00000000-01dc-c667-827c-aefb0000032b|          2|139, 163|false       |
00000000-01dc-c680-5e3c-f89b000005a4|          2|162, 164|false       |
00000000-01dc-c684-73a9-906b0000060f|          2|162, 177|true        |
00000000-01dc-c693-39af-1bb000000852|          2|162, 177|false       |
00000000-01dc-c728-beb5-989100000b43|          2|162, 174|false       |
00000000-01dc-c72f-ca1c-105300000c73|          2|164, 174|true        |
00000000-01dc-c733-885d-74d200000d08|          2|164, 174|true        |
00000000-01dc-c735-d0dd-c8fd00000d68|          2|162, 174|true        |
00000000-01dc-c75d-92c3-e8c000001199|          2|162, 174|true        |
00000000-01dc-c7f1-0ddd-69e20000140e|          2|162, 174|false       |
00000000-01dc-c825-294d-60ad00001ab7|          2|139, 163|false       |
00000000-01dc-c8c2-3978-949f00001e92|          2|162, 177|true        |
00000000-01dc-c8d0-4a1d-9895000020d1|          2|162, 177|false       |
00000000-01dc-cb13-72dd-f8130000009f|          2|139, 163|false       |
00000000-01dc-cb15-876e-59f8000000e9|          2|162, 177|true        |
00000000-01dc-cb1a-86e0-e07b000001b4|          2|139, 163|true        |
00000000-01dc-cb1e-5f5c-14240000027a|          2|139, 162|true        |
00000000-01dc-cb42-42e4-187300000710|          2|162, 177|true        |
00000000-01dc-cb4b-aedb-9bff00000871|          2|162, 174|false       |
00000000-01dc-cbe4-e159-7c5a00000c60|          2|163, 167|true        |
00000000-01dc-cc15-d336-ed6e000013a9|          2|162, 177|false       |
00000000-01dc-ccb6-235d-197c000018ce|          2|174, 177|true        |
00000000-01dc-cd76-ca12-bd97000020fe|          2|174, 177|true        |
00000000-01dc-cd94-3a69-9e5300002491|          2|167, 174|false       |
00000000-01dc-cd95-bb15-c72a000024c2|          2|163, 164|true        |
00000000-01dc-cda1-5d8a-c72500002698|          2|163, 164|true        |
00000000-01dc-cda6-a0f0-123200002794|          2|163, 164|true        |
00000000-01dc-ce3f-6664-9d7800002b01|          2|139, 163|true        |
00000000-01dc-ce4f-c8e8-a84300002d8d|          2|174, 177|true        |
00000000-01dc-ce5f-253a-537900002e5f|          2|162, 177|true        |
00000000-01dc-ce63-b6b9-371800002eeb|          2|164, 174|false       |
00000000-01dc-d093-8386-04da000000cc|          2|139, 164|true        |
00000000-01dc-d094-2101-c1e4000000f8|          2|163, 167|true        |
00000000-01dc-d095-007c-48a70000012a|          2|162, 174|false       |
00000000-01dc-d096-f5e4-55ea00000197|          2|162, 174|false       |
00000000-01dc-d09a-68e0-cf0000000264|          2|162, 174|true        |
00000000-01dc-d0aa-807c-ce2800000601|          2|162, 174|true        |
00000000-01dc-d0c6-2ed9-46ae0000098a|          2|162, 163|true        |
00000000-01dc-d0cc-a331-f05600000ab6|          2|163, 164|true        |
00000000-01dc-d173-1303-02be00001225|          2|163, 177|true        |
00000000-01dc-d194-1905-61680000164c|          2|139, 174|true        |
00000000-01dc-d220-ab4a-f558000018bc|          2|164, 167|true        |
00000000-01dc-d226-299a-08ce0000194e|          2|163, 164|true        |
00000000-01dc-d22c-5489-bb3200001a7e|          2|162, 174|true        |
00000000-01dc-d237-1afa-c59400001c8c|          2|162, 177|true        |
00000000-01dc-d23b-c32c-ae5600001d49|          2|162, 177|false       |
00000000-01dc-d24d-5cd5-8b4f00001e6c|          2|162, 177|true        |
00000000-01dc-d2f1-ed11-4b5f00002432|          2|162, 174|true        |
00000000-01dc-d319-2f69-026c0000297b|          2|162, 177|true        |
00000000-01dc-d3bd-00b4-653000002f8a|          2|162, 174|false       |
00000000-01dc-d3c6-75f7-cc3500003101|          2|174, 177|true        |
00000000-01dc-d3eb-4302-46c100003539|          2|163, 164|false       |
00000000-01dc-d613-7b5a-2722000000b9|          2|163, 164|true        |
00000000-01dc-d614-bda4-2f670000010d|          2|163, 164|true        |
00000000-01dc-d61b-3b4a-4d4700000293|          2|162, 174|true        |
00000000-01dc-d626-f2fa-f42500000509|          2|139, 162|true        |
00000000-01dc-d639-deac-e83b000006dd|          2|164, 167|true        |
00000000-01dc-d63b-1e93-952d000006fe|          2|167, 174|true        |
00000000-01dc-d640-46b1-8c3e000007ad|          2|139, 163|true        |
00000000-01dc-d6ef-dfdb-201d00001020|          2|162, 174|true        |
00000000-01dc-d6f1-bbcb-696b00001080|          2|162, 177|true        |
00000000-01dc-d7b7-7195-880600001b5a|          2|174, 177|true        |
